Species	Chemical Name	Ordered Freq (GHz) (rest frame, redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	E_L (K)	Linelist
D2O	Water	998.79034260, 998.79034260	20(15,6)-19(16,3)	-10.75490		4350.2460	6258.9976	CDMS
D2O	Water	998.79034270, 998.79034270	20(15,5)-19(16,4)	-10.45390		4350.2460	6258.9976	CDMS
D2O	Water	998.80518510, 998.80518510	20(15,6)-19(16,3)	-10.76430		4350.2453	6258.9966	CDMS
D2O	Water	998.80518520, 998.80518520	20(15,5)-19(16,4)	-10.46330		4350.2453	6258.9966	CDMS
H2Ov2,2v2,v1,v3	Water	998.92848590, 998.92848590	8(4,5),v2=2-7(1,6),v1=1	-12.36370		4348.4147	6256.4071	JPL
HDO	Water	999.72661450, 999.72661450	14(6,8)-13(7,7)	-5.34140		2142.8322	3083.0398	JPL
H2Ov2,2v2,v1,v3	Water	999.81724030, 999.81724030	9(1,8),v3=1-9(5,5),v2=2	-14.23680		4783.6407	6882.6010	JPL
H2Ov2,2v2,v1,v3	Water	1000.85357300, 1000.85357300	2(1,1),v2=2-2(0,2),v2=2	-7.32710		3221.9612	4635.6896	JPL
H2Ov=0	Water	1000.94763300, 1000.94763300	15(4,11)-16(3,14)	-8.09890		3211.2127	4620.2249	JPL
H2Ov2,2v2,v1,v3	Water	1001.18282580, 1001.18282580	6(4,2),v1=1-7(5,3),v2=2	-12.59410		4368.5460	6285.3716	JPL
H2Ov2,2v2,v1,v3	Water	1002.81321360, 1002.81321360	9(3,7),v1=1-9(1,8),v3=1	-13.78510		4816.9910	6930.5847	JPL
H218Ov=0	Water	1003.27759990, 1003.27759990	5(2,4)-4(3,1)	-2.30260		380.7025	547.7428	JPL
